date_sk,full_date,day_of_month,day_name,week_of_year,month_number,month_name,quarter_number,year_number,is_weekend,is_peak_season
20250225,2025-02-25,25,Selasa,9,2,Februari,1,2025,False,False
20250226,2025-02-26,26,Rabu,9,2,Februari,1,2025,False,False
20250227,2025-02-27,27,Kamis,9,2,Februari,1,2025,False,False
20250228,2025-02-28,28,Jumat,9,2,Februari,1,2025,False,False
20250301,2025-03-01,1,Sabtu,9,3,Maret,1,2025,True,False
20250302,2025-03-02,2,Minggu,9,3,Maret,1,2025,True,False
20250303,2025-03-03,3,Senin,10,3,Maret,1,2025,False,False
20250304,2025-03-04,4,Selasa,10,3,Maret,1,2025,False,False
20250305,2025-03-05,5,Rabu,10,3,Maret,1,2025,False,False
20250306,2025-03-06,6,Kamis,10,3,Maret,1,2025,False,False
20250307,2025-03-07,7,Jumat,10,3,Maret,1,2025,False,False
20250308,2025-03-08,8,Sabtu,10,3,Maret,1,2025,True,False
20250309,2025-03-09,9,Minggu,10,3,Maret,1,2025,True,False
20250310,2025-03-10,10,Senin,11,3,Maret,1,2025,False,False
20250311,2025-03-11,11,Selasa,11,3,Maret,1,2025,False,False
20250312,2025-03-12,12,Rabu,11,3,Maret,1,2025,False,False
20250313,2025-03-13,13,Kamis,11,3,Maret,1,2025,False,False
20250314,2025-03-14,14,Jumat,11,3,Maret,1,2025,False,False
20250315,2025-03-15,15,Sabtu,11,3,Maret,1,2025,True,False
20250316,2025-03-16,16,Minggu,11,3,Maret,1,2025,True,False
20250317,2025-03-17,17,Senin,12,3,Maret,1,2025,False,False
20250318,2025-03-18,18,Selasa,12,3,Maret,1,2025,False,False
20250319,2025-03-19,19,Rabu,12,3,Maret,1,2025,False,False
20250320,2025-03-20,20,Kamis,12,3,Maret,1,2025,False,False
20250321,2025-03-21,21,Jumat,12,3,Maret,1,2025,False,False
20250322,2025-03-22,22,Sabtu,12,3,Maret,1,2025,True,False
20250323,2025-03-23,23,Minggu,12,3,Maret,1,2025,True,False
20250324,2025-03-24,24,Senin,13,3,Maret,1,2025,False,False
20250325,2025-03-25,25,Selasa,13,3,Maret,1,2025,False,False
20250326,2025-03-26,26,Rabu,13,3,Maret,1,2025,False,False
20250327,2025-03-27,27,Kamis,13,3,Maret,1,2025,False,False
20250328,2025-03-28,28,Jumat,13,3,Maret,1,2025,False,False
20250329,2025-03-29,29,Sabtu,13,3,Maret,1,2025,True,False
20250330,2025-03-30,30,Minggu,13,3,Maret,1,2025,True,False
20250331,2025-03-31,31,Senin,14,3,Maret,1,2025,False,False
20250401,2025-04-01,1,Selasa,14,4,April,2,2025,False,False
20250402,2025-04-02,2,Rabu,14,4,April,2,2025,False,False
20250403,2025-04-03,3,Kamis,14,4,April,2,2025,False,False
20250404,2025-04-04,4,Jumat,14,4,April,2,2025,False,False
20250405,2025-04-05,5,Sabtu,14,4,April,2,2025,True,False
20250406,2025-04-06,6,Minggu,14,4,April,2,2025,True,False
20250407,2025-04-07,7,Senin,15,4,April,2,2025,False,False
20250408,2025-04-08,8,Selasa,15,4,April,2,2025,False,False
20250409,2025-04-09,9,Rabu,15,4,April,2,2025,False,False
20250410,2025-04-10,10,Kamis,15,4,April,2,2025,False,False
20250411,2025-04-11,11,Jumat,15,4,April,2,2025,False,False
20250412,2025-04-12,12,Sabtu,15,4,April,2,2025,True,False
20250413,2025-04-13,13,Minggu,15,4,April,2,2025,True,False
20250414,2025-04-14,14,Senin,16,4,April,2,2025,False,False
20250415,2025-04-15,15,Selasa,16,4,April,2,2025,False,False
20250416,2025-04-16,16,Rabu,16,4,April,2,2025,False,False
20250417,2025-04-17,17,Kamis,16,4,April,2,2025,False,False
20250418,2025-04-18,18,Jumat,16,4,April,2,2025,False,False
20250419,2025-04-19,19,Sabtu,16,4,April,2,2025,True,False
20250420,2025-04-20,20,Minggu,16,4,April,2,2025,True,False
20250421,2025-04-21,21,Senin,17,4,April,2,2025,False,False
20250422,2025-04-22,22,Selasa,17,4,April,2,2025,False,False
20250423,2025-04-23,23,Rabu,17,4,April,2,2025,False,False
20250424,2025-04-24,24,Kamis,17,4,April,2,2025,False,False
20250425,2025-04-25,25,Jumat,17,4,April,2,2025,False,False
20250426,2025-04-26,26,Sabtu,17,4,April,2,2025,True,False
20250427,2025-04-27,27,Minggu,17,4,April,2,2025,True,False
20250428,2025-04-28,28,Senin,18,4,April,2,2025,False,False
20250429,2025-04-29,29,Selasa,18,4,April,2,2025,False,False
20250430,2025-04-30,30,Rabu,18,4,April,2,2025,False,False
20250501,2025-05-01,1,Kamis,18,5,Mei,2,2025,False,False
20250502,2025-05-02,2,Jumat,18,5,Mei,2,2025,False,False
20250503,2025-05-03,3,Sabtu,18,5,Mei,2,2025,True,False
20250504,2025-05-04,4,Minggu,18,5,Mei,2,2025,True,False
20250505,2025-05-05,5,Senin,19,5,Mei,2,2025,False,False
20250506,2025-05-06,6,Selasa,19,5,Mei,2,2025,False,False
20250507,2025-05-07,7,Rabu,19,5,Mei,2,2025,False,False
20250508,2025-05-08,8,Kamis,19,5,Mei,2,2025,False,False
20250509,2025-05-09,9,Jumat,19,5,Mei,2,2025,False,False
20250510,2025-05-10,10,Sabtu,19,5,Mei,2,2025,True,False
20250511,2025-05-11,11,Minggu,19,5,Mei,2,2025,True,False
20250512,2025-05-12,12,Senin,20,5,Mei,2,2025,False,False
20250513,2025-05-13,13,Selasa,20,5,Mei,2,2025,False,False
20250514,2025-05-14,14,Rabu,20,5,Mei,2,2025,False,False
20250515,2025-05-15,15,Kamis,20,5,Mei,2,2025,False,False
20250516,2025-05-16,16,Jumat,20,5,Mei,2,2025,False,False
20250517,2025-05-17,17,Sabtu,20,5,Mei,2,2025,True,False
20250518,2025-05-18,18,Minggu,20,5,Mei,2,2025,True,False
20250519,2025-05-19,19,Senin,21,5,Mei,2,2025,False,False
